model,task_id,family,target_tokens,actual_document_tokens,fact_count,replicate,record_id,omission,unit_error,action_error,object_error,count_error,month_error,severity_error,any_field_error,exact_record,log2_tokens
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-0,fixed_load,12000,11925,10,0,IR-007-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-02,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-1,fixed_load,12000,11925,10,1,IR-008-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541701645780236
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-12000-2,fixed_load,12000,11924,10,2,IR-009-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.541580659991169
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-0,fixed_load,24000,23917,10,0,IR-010-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545748817724457
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-1,fixed_load,24000,23921,10,1,IR-011-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,fixed_load-24000-2,fixed_load,24000,23921,10,2,IR-012-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.545990081162602
gpt-4.1-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,IR-013-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,IR-013-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,IR-013-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-0,scaled_load,2000,1924,4,0,IR-013-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,IR-014-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,IR-014-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,IR-014-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-1,scaled_load,2000,1924,4,1,IR-014-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.909893083770042
gpt-4.1-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,IR-015-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.910642730469625
gpt-4.1-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,IR-015-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.910642730469625
gpt-4.1-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,IR-015-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.910642730469625
gpt-4.1-mini,scaled_load-2000-2,scaled_load,2000,1925,4,2,IR-015-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.910642730469625
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-0,scaled_load,6000,5923,8,0,IR-016-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532112370794998
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-1,scaled_load,6000,5932,8,1,IR-017-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.53430288245463
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-6000-2,scaled_load,6000,5926,8,2,IR-018-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.532842910961282
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
gpt-4.1-mini,scaled_load-12000-0,scaled_load,12000,11931,16,0,IR-019-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.542427347526367
